# HSK 2.0 level 3 word list (words exclusive to this level).
# One entry per line: simplified<TAB>traditional.
# Source: github.com/drkameleon/complete-hsk-vocabulary (MIT), wordlists/exclusive/old/3.json
阿姨	阿姨
啊	啊
矮	矮
爱好	愛好
安静	安靜
把	把
班	班
搬	搬
办法	辦法
办公室	辦公室
半	半
帮忙	幫忙
包	包
饱	飽
北方	北方
被	被
鼻子	鼻子
比较	比較
比赛	比賽
必须	必須
变化	變化
表示	表示
表演	表演
别人	別人
宾馆	賓館
冰箱	冰箱
才	才
菜单	菜單
参加	參加
草	艸
层	層
差	差
超市	超市
衬衫	襯衫
成绩	成績
城市	城市
迟到	遲到
出现	出現
除了	除了
厨房	廚房
春	旾
词语	詞語
聪明	聰明
打扫	打掃
打算	打算
带	帶
担心	擔心
蛋糕	蛋糕
当然	當然
地	地
地方	地方
地铁	地鐵
地图	地圖
灯	燈
低	低
电梯	電梯
电子	電子
东	東
冬	冬
动物	動物
短	短
段	段
锻炼	鍛鍊
多么	多麼
饿	餓
而且	而且
耳朵	耳朵
发烧	發燒
发现	發現
方便	方便
放	放
放心	放心
分	分
附近	附近
复习	復習
敢	敢
感冒	感冒
干净	乾淨
刚才	剛才
根据	根據
跟	跟
更	更
公园	公園
故事	故事
刮	刮
关	關
关系	關係
关心	關心
关于	關於
国家	國家
果汁	果汁
过去	過去
还是	還是
害怕	害怕
河	河
黑板	黑板
护照	護照
花	花
花园	花園
画	畫
坏	壞
环境	環境
换	換
黄	黃
会议	會議
或者	或者
机会	機會
极	極
几乎	幾乎
记得	記得
季节	季節
检查	檢查
简单	簡單
见面	見面
健康	健康
讲	講
角	角
脚	腳
教	教
接	接
街道	街道
节目	節目
节日	節日
结婚	結婚
结束	結束
解决	解決
借	借
经常	經常
经过	經過
经理	經理
久	久
旧	舊
举行	舉行
句子	句子
决定	決定
可爱	可愛
渴	渴
刻	刻
客人	客人
空调	空調
口	口
哭	哭
裤子	袴子
筷子	筷子
蓝	藍
老	老
了解	了解
离开	離開
礼物	禮物
历史	歷史
脸	臉
练习	練習
辆	輛
邻居	鄰居
楼	樓
绿	綠
马	馬
马上	馬上
满意	滿意
帽子	帽子
米	米
面包	麵包
面条	麵條
明白	明白
拿	㧱
奶奶	奶奶
南	南
难	難
难过	難過
年级	年級
年轻	年輕
鸟	鳥
努力	努力
爬山	爬山
盘子	盤子
胖	胖
啤酒	啤酒
葡萄	葡萄
普通话	普通話
其实	其實
其他	其他
奇怪	奇怪
骑	騎
铅笔	鉛筆
清楚	清楚
秋	秋
裙子	裙子
然后	然後
热情	熱情
认为	認為
认真	認真
容易	容易
如果	如果
伞	傘
上网	上網
生气	生氣
声音	聲音
使	使
世界	世界
瘦	瘦
叔叔	叔叔
舒服	舒服
树	樹
数学	數學
刷	刷
双	雙
水平	水平
司机	司機
虽然	雖然
太阳	太陽
糖	糖
特别	特別
疼	疼
提高	提高
体育	體育
甜	甜
条	條
同事	同事
同意	同意
头发	頭髮
突然	突然
图书馆	圖書館
腿	腿
完成	完成
碗	㼝
万	万
忘记	忘記
为了	為了
为什么	為什麼
位	位
文化	文化
习惯	習慣
洗手间	洗手間
洗澡	洗澡
西	西
夏	夏
先	先
相同	相同
相信	相信
香蕉	香蕉
像	像
小心	小心
校长	校長
鞋	鞋
新闻	新聞
新鲜	新鮮
信	信
行李箱	行李箱
兴趣	興趣
熊猫	熊貓
需要	需要
选择	選擇
眼镜	眼鏡
要求	要求
爷爷	爺爺
一般	一般
一边	一邊
一定	一定
一共	一共
一会儿	一會兒
一样	一樣
一直	一直
以后	以後
以前	以前
以为	以為
音乐	音樂
银行	銀行
应该	應該
影响	影響
用	用
游戏	遊戲
有名	有名
又	又
遇到	遇到
愿意	願意
月亮	月亮
越	越
云	云
站	站
照顾	照顧
照片	照片
照相机	照相機
着急	著急
只	只
中间	中間
终于	終於
种	種
重要	重要
周末	週末
主要	主要
注意	注意
祝	祝
字典	字典
自己	自己
总是	總是
最近	最近
作业	作業
作用	作用
