# HSK 2.0 level 2 word list (words exclusive to this level).
# One entry per line: simplified<TAB>traditional.
# Source: github.com/drkameleon/complete-hsk-vocabulary (MIT), wordlists/exclusive/old/2.json
吧	吧
白	白
百	百
帮助	幫助
报纸	報紙
比	比
便宜	便宜
别	別
唱歌	唱歌
出	出
穿	穿
船	舩
次	次
从	从
错	錯
打篮球	打籃球
大家	大家
但是	但是
到	到
得	得
弟弟	弟弟
第一	第一
懂	懂
房间	房間
非常	非常
服务员	服務員
高	高
告诉	告訴
哥哥	哥哥
给	給
公共汽车	公共汽車
公斤	公斤
公司	公司
贵	貴
还	還
孩子	孩子
好吃	好吃
号	號
黑	黑
红	紅
欢迎	歡迎
回答	回答
机场	機場
鸡蛋	雞蛋
件	件
教室	教室
介绍	介紹
姐姐	姐姐
近	近
进	進
就	就
觉得	覺得
咖啡	咖啡
开始	開始
考试	考試
可能	可能
可以	可以
课	課
快	快
快乐	快樂
累	累
离	离
两	兩
路	路
旅游	旅遊
卖	賣
慢	慢
忙	忙
每	每
妹妹	妹妹
门	門
男人	男人
您	您
牛奶	牛奶
女人	女人
旁边	旁邊
跑步	跑步
票	票
妻子	妻子
起床	起床
千	千
晴	晴
去年	去年
让	讓
上班	上班
身体	身體
生病	生病
生日	生日
时间	時間
事情	事情
手表	手錶
手机	手機
送	送
所以	所以
它	它
踢	踢
题	題
跳舞	跳舞
外	外
完	完
玩	玩
晚上	晚上
为	為
问	問
问题	問題
希望	希望
洗	洗
西瓜	西瓜
向	向
小时	小時
笑	咲
新	新
姓	姓
休息	休息
雪	雪
颜色	顏色
眼睛	眼睛
羊肉	羊肉
药	葯
要	要
也	也
一起	一起
已经	已經
意思	意思
因为	因為
阴	陰
游泳	游泳
右边	右邊
鱼	魚
元	元
远	遠
运动	運動
再	再
早上	早上
张	張
长	長
丈夫	丈夫
找	找
着	著
真	真
正在	正在
知道	知道
准备	準備
自行车	自行車
走	走
最	㝡
左边	左邊
