# HSK 2.0 level 6 word list (words exclusive to this level).
# One entry per line: simplified<TAB>traditional.
# Source: github.com/drkameleon/complete-hsk-vocabulary (MIT), wordlists/exclusive/old/6.json
呵	呵
哎哟	哎喲
挨	挨
癌症	癌症
爱不释手	愛不釋手
爱戴	愛戴
暧昧	曖昧
安居乐业	安居樂業
安宁	安寧
安详	安詳
安置	安置
按摩	按摩
案件	案件
案例	案例
暗示	暗示
昂贵	昂貴
凹凸	凹凸
熬	熬
奥秘	奧祕
扒	扒
疤	疤
拔苗助长	拔苗助長
把关	把關
把手	把手
把戏	把戲
霸道	霸道
巴不得	巴不得
巴结	巴結
罢工	罷工
掰	掰
百分点	百分點
摆脱	擺脫
败坏	敗壞
拜访	拜訪
拜年	拜年
拜托	拜託
颁布	頒布
颁发	頒發
斑纹	斑紋
版本	版本
半途而废	半途而廢
伴侣	伴侶
伴随	伴隨
扮演	扮演
绑架	綁架
榜样	榜樣
磅	磅
包庇	包庇
包袱	包袱
包围	包圍
包装	包裝
薄弱	薄弱
饱和	飽和
饱经沧桑	飽經滄桑
保管	保管
保密	保密
保姆	保姆
保守	保守
保卫	保衛
保养	保養
保障	保障
保重	保重
报仇	報仇
报酬	報酬
报答	報答
报到	報到
报复	報復
报社	報社
报销	報銷
抱负	抱負
抱怨	抱怨
暴力	暴力
暴露	暴露
爆发	爆發
爆炸	爆炸
卑鄙	卑鄙
悲哀	悲哀
悲惨	悲慘
北极	北極
贝壳	貝殼
备份	備份
备忘录	備忘錄
背叛	背叛
背诵	背誦
被动	被動
被告	被告
奔波	奔波
奔驰	奔馳
本能	本能
本钱	本錢
本人	本人
本身	本身
本事	本事
本着	本著
笨拙	笨拙
崩溃	崩潰
甭	甭
迸发	迸發
蹦	蹦
逼迫	逼迫
鼻涕	鼻涕
比方	比方
比喻	比喻
比重	比重
必定	必定
闭塞	閉塞
弊病	弊病
弊端	弊端
碧玉	碧玉
臂	臂
边疆	邊疆
边界	邊界
边境	邊境
边缘	邊緣
编织	編織
鞭策	鞭策
贬低	貶低
贬义	貶義
扁	扁
变故	變故
变迁	變遷
变质	變質
便利	便利
便条	便條
便于	便於
遍布	遍布
辨认	辨認
辩护	辯護
辩解	辯解
辩证	辯證
辫子	辮子
标本	標本
标记	標記
标题	標題
飙升	飆升
表决	表決
表态	表態
表彰	表彰
憋	憋
别扭	彆扭
别墅	別墅
别致	別緻
濒临	瀕臨
冰雹	冰雹
并存	並存
并非	並非
并列	並列
拨打	撥打
波浪	波浪
波涛汹涌	波濤洶湧
剥削	剝削
播放	播放
播种	播種
伯母	伯母
博大精深	博大精深
博览会	博覽會
搏斗	搏鬥
补偿	補償
补救	補救
补贴	補貼
哺乳	哺乳
捕捉	捕捉
不得已	不得已
不妨	不妨
不敢当	不敢當
不顾	不顧
不禁	不禁
不堪	不堪
不可思议	不可思議
不愧	不愧
不料	不料
不时	不時
不惜	不惜
不相上下	不相上下
不像话	不像話
不屑一顾	不屑一顧
不言而喻	不言而喻
不由得	不由得
不择手段	不擇手段
不止	不止
布告	佈告
布局	佈局
布置	佈置
步伐	步伐
部署	部署
部位	部位
才干	才幹
财富	財富
财务	財務
财政	財政
裁缝	裁縫
裁判	裁判
裁员	裁員
采购	採購
采集	採集
采纳	採納
彩票	彩票
参谋	參謀
参照	參照
残酷	殘酷
残留	殘留
残忍	殘忍
灿烂	燦爛
仓促	倉促
仓库	倉庫
苍白	蒼白
舱	艙
操劳	操勞
操练	操練
操纵	操縱
操作	操作
嘈杂	嘈雜
草案	草案
草率	草率
侧面	側面
测量	測量
策略	策略
策划	策劃
层出不穷	層出不窮
层次	層次
查获	查獲
岔	岔
诧异	詫異
差距	差距
柴油	柴油
搀	攙
馋	饞
缠绕	纏繞
产业	產業
阐述	闡述
颤抖	顫抖
昌盛	昌盛
猖狂	猖狂
尝试	嘗試
偿还	償還
常年	常年
常务	常務
场合	場合
场面	場面
场所	場所
畅通	暢通
畅销	暢銷
倡导	倡導
倡议	倡議
敞开	敞開
钞票	鈔票
超级	超級
超越	超越
朝气蓬勃	朝氣蓬勃
嘲笑	嘲笑
潮流	潮流
潮湿	潮濕
撤退	撤退
撤销	撤銷
沉淀	沉澱
